bwid;name
ELBW089046031101;ΠΛΑΤΑΜΩΝΑΣ 1
ELBW089046032101;ΝΕΟΙ ΠΟΡΟΙ
ELBW089046033101;ΝΕΟΣ ΠΑΝΤΕΛΕΗΜΟΝΑΣ ΣΚΟΤΙΝΑΣ
ELBW099046002101;ΛΕΠΤΟΚΑΡΥΑ
ELBW099046003101;ΒΑΡΙΚΟ ΔΙΟΥ ΟΛΥΜΠΟΥ
ELBW099046004101;ΛΙΤΟΧΩΡΟ
ELBW099047005101;ΑΚΤΗ ΚΑΛΛΙΘΕΑΣ ΚΑΤΕΡΙΝΗΣ
ELBW099047006101;ΟΛΥΜΠΙΑΚΗ ΑΚΤΗ ΚΑΤΕΡΙΝΗΣ
ELBW099047007101;ΚΟΡΙΝΟΣ ΚΑΤΕΡΙΝΗΣ
ELBW099048008101;ΣΚΑΛΑ ΑΛΥΚΩΝ ΠΥΔΝΑΣ
ELBW099048009101;ΑΡΧΑΙΑ ΠΥΔΝΑ
ELBW099048010101;ΜΑΚΡΥΓΙΑΛΟΣ ΠΥΔΝΑΣ
ELBW109027018101;ΡΗΧΕΙΟΣ ΒΟΛΒΗΣ
ELBW109027019101;ΣΤΑΥΡΟΣ ΒΟΛΒΗΣ
ELBW109029020101;ΝΕΑ ΜΗΧΑΝΙΩΝΑ
ELBW109029021101;ΚΟΙΝΟΤΙΚΗ ΠΛΑΖ ΕΠΑΝΟΜΗΣ
ELBW109029022101;ΑΓΙΑ ΤΡΙΑΔΑ 1
ELBW109029023101;ΠΟΤΑΜΟΣ
ELBW109029024101;ΕΟΤ ΕΠΑΝΟΜΗΣ
ELBW109029025101;ΑΓΓΕΛΟΧΩΡΙ
ELBW109029027101;ΑΓΙΑ ΤΡΙΑΔΑ 2
ELBW109029028101;ΑΓΙΑ ΤΡΙΑΔΑ 3
ELBW109056001101;ΓΥΑΛΑΚΙ 3 ΑΡΙΣΤΟΤΕΛΗ
ELBW109056002101;ΑΛΥΚΕΣ ΑΡΙΣΤΟΤΕΛΗ
ELBW109056003101;ΝΕΑ ΡΟΔΑ ΑΡΙΣΤΟΤΕΛΗ
ELBW109056004101;ΚΑΜΠΟΥΔΙ 1 ΑΡΙΣΤΟΤΕΛΗ
ELBW109056005101;ΚΟΜΙΤΣΑ ΑΡΙΣΤΟΤΕΛΗ
ELBW109056007101;ΟΥΡΑΝΟΥΠΟΛΗ 1 ΑΡΙΣΤΟΤΕΛΗ
ELBW109056008101;ΙΕΡΙΣΣΟΣ ΑΡΙΣΤΟΤΕΛΗ
ELBW109056009101;ΚΑΜΠΟΣ ΑΡΙΣΤΟΤΕΛΗ
ELBW109056010101;ΤΡΥΠΗΤΗ ΑΡΙΣΤΟΤΕΛΗ
